sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,Oceanian,South Asian,max_ancestry,assigned_group
HG00176,FIN,European,kg,,European,yes,yes,1e-05,0.046315,0.045187,0.898589,0.009889,1e-05,0.898589,European
HG00177,FIN,European,kg,,European,yes,yes,1e-05,0.052644,0.05659,0.888254,0.002492,1e-05,0.888254,European
HG00178,FIN,European,kg,,European,yes,yes,1e-05,0.033318,0.057399,0.90501,0.004253,1e-05,0.90501,European
HG00179,FIN,European,kg,,European,yes,yes,1e-05,0.049459,0.043376,0.907134,1e-05,1e-05,0.907134,European
HG00180,FIN,European,kg,,European,yes,yes,1e-05,0.045039,0.053123,0.896471,0.005346,1e-05,0.896471,European
HG00181,FIN,European,kg,,European,yes,yes,1e-05,0.024915,0.044993,0.90792,1e-05,0.022152,0.90792,European
HG00182,FIN,European,kg,,European,yes,yes,1e-05,0.053854,0.050249,0.894747,0.00113,1e-05,0.894747,European
HG00183,FIN,European,kg,,European,yes,yes,1e-05,0.039632,0.052928,0.903867,0.003552,1e-05,0.903867,European
HG00185,FIN,European,kg,,European,yes,yes,1e-05,0.044552,0.063123,0.892295,1e-05,1e-05,0.892295,European
HG00186,FIN,European,kg,,European,yes,yes,1e-05,0.048863,0.041699,0.902977,0.006442,1e-05,0.902977,European
HG00187,FIN,European,kg,,European,yes,yes,1e-05,0.054473,0.06044,0.885057,1e-05,1e-05,0.885057,European
HG00188,FIN,European,kg,,European,yes,yes,1e-05,0.051207,0.040021,0.908742,1e-05,1e-05,0.908742,European
HG00189,FIN,European,kg,,European,yes,yes,1e-05,0.047928,0.038575,0.907766,0.005711,1e-05,0.907766,European
HG00190,FIN,European,kg,,European,yes,yes,1e-05,0.03679,0.038422,0.917575,1e-05,0.007194,0.917575,European
HG00231,GBR,European,kg,,European,yes,yes,1e-05,0.019102,1e-05,0.980858,1e-05,1e-05,0.980858,European
HG00232,GBR,European,kg,,European,yes,yes,1e-05,0.009884,1e-05,0.988436,0.001649,1e-05,0.988436,European
HG00233,GBR,European,kg,,European,yes,yes,1e-05,0.011955,1e-05,0.984821,0.003195,1e-05,0.984821,European
HG00234,GBR,European,kg,,European,yes,yes,1e-05,0.01331,1e-05,0.98665,1e-05,1e-05,0.98665,European
HG00235,GBR,European,kg,,European,yes,yes,1e-05,0.012133,1e-05,0.987827,1e-05,1e-05,0.987827,European
HG00236,GBR,European,kg,,European,yes,yes,1e-05,0.00464,0.00385,0.98986,0.00163,1e-05,0.98986,European
HG00237,GBR,European,kg,,European,yes,yes,1e-05,0.007763,0.002584,0.980262,1e-05,0.00937,0.980262,European
HG00238,GBR,European,kg,,European,yes,yes,1e-05,0.016455,1e-05,0.977267,1e-05,0.006248,0.977267,European
HG00239,GBR,European,kg,,European,yes,yes,1e-05,0.016179,1e-05,0.98124,0.002551,1e-05,0.98124,European
HG00240,GBR,European,kg,,European,yes,no,,,,,,,,
HG00242,GBR,European,kg,,European,yes,yes,1e-05,0.016057,1e-05,0.983903,1e-05,1e-05,0.983903,European
HG00243,GBR,European,kg,,European,yes,yes,1e-05,0.008688,1e-05,0.990243,1e-05,0.001038,0.990243,European
HG00244,GBR,European,kg,,European,yes,yes,1e-05,0.016924,1e-05,0.983036,1e-05,1e-05,0.983036,European
HG00245,GBR,European,kg,,European,yes,yes,1e-05,0.022604,1e-05,0.977356,1e-05,1e-05,0.977356,European
HG00246,GBR,European,kg,,European,yes,yes,1e-05,0.019091,1e-05,0.978289,0.00259,1e-05,0.978289,European
HG00250,GBR,European,kg,,European,yes,yes,1e-05,0.014161,1e-05,0.985799,1e-05,1e-05,0.985799,European
HG00251,GBR,European,kg,,European,yes,yes,1e-05,0.019482,1e-05,0.980318,0.00017,1e-05,0.980318,European
HG00252,GBR,European,kg,,European,yes,yes,1e-05,0.016772,0.008055,0.975143,1e-05,1e-05,0.975143,European
HG00253,GBR,European,kg,,European,yes,yes,1e-05,0.014617,1e-05,0.985343,1e-05,1e-05,0.985343,European
HG00254,GBR,European,kg,,European,yes,yes,1e-05,0.016342,1e-05,0.978136,1e-05,0.005492,0.978136,European
HG00255,GBR,European,kg,,European,yes,yes,1e-05,0.013261,1e-05,0.979204,1e-05,0.007505,0.979204,European
HG00256,GBR,European,kg,,European,yes,yes,1e-05,0.002706,1e-05,0.997254,1e-05,1e-05,0.997254,European
HG00257,GBR,European,kg,,European,yes,yes,1e-05,0.015945,1e-05,0.984015,1e-05,1e-05,0.984015,European
HG00258,GBR,European,kg,,European,yes,yes,1e-05,0.012967,1e-05,0.986993,1e-05,1e-05,0.986993,European
HG00259,GBR,European,kg,,European,yes,yes,1e-05,0.010539,1e-05,0.98536,0.004071,1e-05,0.98536,European
HG00260,GBR,European,kg,,European,yes,yes,1e-05,0.014983,1e-05,0.981494,0.003493,1e-05,0.981494,European
HG00261,GBR,European,kg,,European,yes,yes,1e-05,0.007708,1e-05,0.990259,0.002003,1e-05,0.990259,European
HG00262,GBR,European,kg,,European,yes,yes,1e-05,0.013772,1e-05,0.985661,1e-05,0.000537,0.985661,European
HG00263,GBR,European,kg,,European,yes,yes,1e-05,0.013229,1e-05,0.980556,1e-05,0.006185,0.980556,European
HG00264,GBR,European,kg,,European,yes,yes,1e-05,0.01034,1e-05,0.986801,0.002829,1e-05,0.986801,European
HG00265,GBR,European,kg,,European,yes,yes,1e-05,0.01719,1e-05,0.98277,1e-05,1e-05,0.98277,European
HG00266,FIN,European,kg,,European,yes,yes,1e-05,0.040892,0.050169,0.907315,0.001604,1e-05,0.907315,European
HG00267,FIN,European,kg,,European,yes,yes,1e-05,0.040464,0.062067,0.89571,0.001738,1e-05,0.89571,European
HG00268,FIN,European,kg,,European,yes,yes,1e-05,0.043099,0.033286,0.923585,1e-05,1e-05,0.923585,European
HG00269,FIN,European,kg,,European,yes,yes,1e-05,0.042282,0.039163,0.91649,0.002045,1e-05,0.91649,European
HG00271,FIN,European,kg,,European,yes,yes,1e-05,0.049587,0.058504,0.89188,1e-05,1e-05,0.89188,European
HG00272,FIN,European,kg,,European,yes,yes,1e-05,0.050093,0.065715,0.869876,1e-05,0.014296,0.869876,European
HG00273,FIN,European,kg,,European,yes,yes,1e-05,0.032343,0.041124,0.926503,1e-05,1e-05,0.926503,European
HG00274,FIN,European,kg,,European,yes,yes,1e-05,0.053629,0.033657,0.912684,1e-05,1e-05,0.912684,European
HG00275,FIN,European,kg,,European,yes,yes,1e-05,0.035538,0.031554,0.930651,0.002238,1e-05,0.930651,European
HG00276,FIN,European,kg,,European,yes,yes,1e-05,0.049,0.038673,0.900969,0.011338,1e-05,0.900969,European
HG00277,FIN,European,kg,,European,yes,yes,1e-05,0.030913,0.027775,0.935761,0.005531,1e-05,0.935761,European
HG00278,FIN,European,kg,,European,yes,yes,1e-05,0.031575,0.053869,0.900073,0.006871,0.007601,0.900073,European
HG00280,FIN,European,kg,,European,yes,yes,1e-05,0.034465,0.052201,0.913303,1e-05,1e-05,0.913303,European
HG00281,FIN,European,kg,,European,yes,yes,1e-05,0.052159,0.033919,0.907072,1e-05,0.00683,0.907072,European
HG00282,FIN,European,kg,,European,yes,yes,1e-05,0.038944,0.051952,0.906151,0.002934,1e-05,0.906151,European
HG00284,FIN,European,kg,,European,yes,yes,1e-05,0.041728,0.036129,0.919666,1e-05,0.002457,0.919666,European
HG00285,FIN,European,kg,,European,yes,yes,1e-05,0.044175,0.055493,0.900302,1e-05,1e-05,0.900302,European
HG00288,FIN,European,kg,,European,yes,yes,1e-05,0.052753,0.02824,0.907476,1e-05,0.011512,0.907476,European
HG00290,FIN,European,kg,,European,yes,yes,1e-05,0.042901,0.058057,0.899012,1e-05,1e-05,0.899012,European
HG00304,FIN,European,kg,,European,yes,yes,1e-05,0.040325,0.034763,0.915764,0.009128,1e-05,0.915764,European
HG00306,FIN,European,kg,,European,yes,yes,1e-05,0.039345,0.02424,0.923579,0.010258,0.002567,0.923579,European
HG00308,FIN,European,kg,,European,yes,yes,1e-05,0.040365,0.055448,0.899962,0.004206,1e-05,0.899962,European
HG00309,FIN,European,kg,,European,yes,yes,1e-05,0.040176,0.049425,0.910368,1e-05,1e-05,0.910368,European
HG00310,FIN,European,kg,,European,yes,yes,1e-05,0.035472,0.028799,0.930641,0.005069,1e-05,0.930641,European
HG00311,FIN,European,kg,,European,yes,yes,1e-05,0.034211,0.02119,0.944569,1e-05,1e-05,0.944569,European
HG00313,FIN,European,kg,,European,yes,yes,1e-05,0.039869,0.057922,0.902032,0.000157,1e-05,0.902032,European
HG00315,FIN,European,kg,,European,yes,yes,1e-05,0.054253,0.047442,0.8978,0.000485,1e-05,0.8978,European
HG00318,FIN,European,kg,,European,yes,yes,1e-05,0.040203,0.031605,0.925598,0.002575,1e-05,0.925598,European
HG00319,FIN,European,kg,,European,yes,yes,1e-05,0.039653,0.049975,0.910342,1e-05,1e-05,0.910342,European
HG00320,FIN,European,kg,,European,yes,yes,1e-05,0.050585,0.035481,0.913281,0.000632,1e-05,0.913281,European
HG00321,FIN,European,kg,,European,yes,yes,1e-05,0.042913,0.052516,0.903752,0.000798,1e-05,0.903752,European
HG00323,FIN,European,kg,,European,yes,yes,1e-05,0.034486,0.069546,0.895938,1e-05,1e-05,0.895938,European
HG00324,FIN,European,kg,,European,yes,yes,1e-05,0.049547,0.051105,0.898583,0.000745,1e-05,0.898583,European
HG00325,FIN,European,kg,,European,yes,yes,1e-05,0.041947,0.067452,0.890572,1e-05,1e-05,0.890572,European
HG00326,FIN,European,kg,,European,yes,yes,1e-05,0.034924,0.046497,0.91855,1e-05,1e-05,0.91855,European
HG00327,FIN,European,kg,,European,yes,yes,1e-05,0.060426,0.039624,0.899921,1e-05,1e-05,0.899921,European
HG00328,FIN,European,kg,,European,yes,yes,1e-05,0.044672,0.026707,0.927567,0.001035,1e-05,0.927567,European
HG00329,FIN,European,kg,,European,yes,yes,1e-05,0.033062,0.037049,0.929682,0.000186,1e-05,0.929682,European
HG00330,FIN,European,kg,,European,yes,yes,1e-05,0.045472,0.040948,0.911763,0.001798,1e-05,0.911763,European
HG00331,FIN,European,kg,,European,yes,yes,1e-05,0.043435,0.028743,0.924167,0.00246,0.001185,0.924167,European
HG00332,FIN,European,kg,,European,yes,yes,1e-05,0.050557,0.030171,0.916263,0.00299,1e-05,0.916263,European
HG00334,FIN,European,kg,,European,yes,yes,1e-05,0.034422,0.016592,0.93836,0.010606,1e-05,0.93836,European
HG00335,FIN,European,kg,,European,yes,yes,1e-05,0.040405,0.037142,0.922422,1e-05,1e-05,0.922422,European
HG00336,FIN,European,kg,,European,yes,yes,1e-05,0.041473,0.056764,0.901732,1e-05,1e-05,0.901732,European
HG00337,FIN,European,kg,,European,yes,yes,1e-05,0.041819,0.033296,0.924855,1e-05,1e-05,0.924855,European
HG00338,FIN,European,kg,,European,yes,yes,1e-05,0.048189,0.025664,0.919379,0.006748,1e-05,0.919379,European
HG00339,FIN,European,kg,,European,yes,yes,1e-05,0.03243,0.043164,0.914364,0.010022,1e-05,0.914364,European
HG00341,FIN,European,kg,,European,yes,yes,1e-05,0.038517,0.034315,0.915394,0.005914,0.005849,0.915394,European
HG00342,FIN,European,kg,,European,yes,yes,1e-05,0.034826,0.058975,0.906169,1e-05,1e-05,0.906169,European
HG00343,FIN,European,kg,,European,yes,yes,1e-05,0.046462,0.039469,0.91404,1e-05,1e-05,0.91404,European
HG00344,FIN,European,kg,,European,yes,yes,1e-05,0.033384,0.008412,0.954493,0.003691,1e-05,0.954493,European
HG00345,FIN,European,kg,,European,yes,yes,1e-05,0.042351,0.046605,0.911015,1e-05,1e-05,0.911015,European
HG00346,FIN,European,kg,,European,yes,yes,1e-05,0.033288,0.041435,0.925247,1e-05,1e-05,0.925247,European
HG00349,FIN,European,kg,,European,yes,yes,1e-05,0.03671,0.062751,0.90046,5.9e-05,1e-05,0.90046,European
HG00350,FIN,European,kg,,European,yes,yes,1e-05,0.023912,0.032664,0.943394,1e-05,1e-05,0.943394,European
HG00351,FIN,European,kg,,European,yes,yes,1e-05,0.038277,0.044883,0.91681,1e-05,1e-05,0.91681,European
HG00353,FIN,European,kg,,European,yes,yes,1e-05,0.036918,0.065579,0.897473,1e-05,1e-05,0.897473,European
HG00355,FIN,European,kg,,European,yes,yes,1e-05,0.041553,0.035148,0.923269,1e-05,1e-05,0.923269,European
HG00356,FIN,European,kg,,European,yes,yes,1e-05,0.041614,0.040032,0.915488,0.002846,1e-05,0.915488,European
HG00357,FIN,European,kg,,European,yes,yes,1e-05,0.045605,0.034629,0.919736,1e-05,1e-05,0.919736,European
HG00358,FIN,European,kg,,European,yes,yes,1e-05,0.047983,0.05548,0.896238,0.000278,1e-05,0.896238,European
HG00360,FIN,European,kg,,European,yes,yes,1e-05,0.034344,0.029846,0.925079,0.010711,1e-05,0.925079,European
HG00361,FIN,European,kg,,European,yes,yes,1e-05,0.048824,0.051152,0.887731,0.012273,1e-05,0.887731,European
HG00362,FIN,European,kg,,European,yes,yes,1e-05,0.037803,0.035286,0.911081,0.010104,0.005716,0.911081,European
HG00364,FIN,European,kg,,European,yes,yes,1e-05,0.051136,0.040797,0.908037,1e-05,1e-05,0.908037,European
HG00365,FIN,European,kg,,European,yes,yes,1e-05,0.04283,0.040221,0.916919,1e-05,1e-05,0.916919,European
HG00366,FIN,European,kg,,European,yes,yes,1e-05,0.042166,0.049735,0.903326,0.004753,1e-05,0.903326,European
HG00367,FIN,European,kg,,European,yes,yes,1e-05,0.044744,0.053985,0.90124,1e-05,1e-05,0.90124,European
HG00368,FIN,European,kg,,European,yes,yes,1e-05,0.054392,0.05195,0.893627,1e-05,1e-05,0.893627,European
HG00369,FIN,European,kg,,European,yes,yes,1e-05,0.047385,0.049622,0.902964,1e-05,1e-05,0.902964,European
HG00371,FIN,European,kg,,European,yes,yes,1e-05,0.045486,0.038426,0.908669,0.001248,0.006161,0.908669,European
HG00372,FIN,European,kg,,European,yes,yes,1e-05,0.041093,0.043459,0.913341,0.002087,1e-05,0.913341,European
HG00373,FIN,European,kg,,European,yes,yes,1e-05,0.04863,0.066696,0.884633,2e-05,1e-05,0.884633,European
HG00375,FIN,European,kg,,European,yes,yes,1e-05,0.033007,0.048215,0.918748,1e-05,1e-05,0.918748,European
HG00376,FIN,European,kg,,European,yes,yes,1e-05,0.038208,0.022571,0.938801,0.0004,1e-05,0.938801,European
HG00378,FIN,European,kg,,European,yes,yes,1e-05,0.03697,0.046326,0.916674,1e-05,1e-05,0.916674,European
HG00379,FIN,European,kg,,European,yes,yes,1e-05,0.040272,0.029812,0.92002,0.004236,0.005651,0.92002,European
HG00380,FIN,European,kg,,European,yes,yes,1e-05,0.02174,0.014357,0.954734,0.005485,0.003674,0.954734,European
HG00381,FIN,European,kg,,European,yes,yes,1e-05,0.03406,0.046495,0.919414,1e-05,1e-05,0.919414,European
HG00382,FIN,European,kg,,European,yes,yes,1e-05,0.045606,0.060961,0.892212,0.001201,1e-05,0.892212,European
HG00383,FIN,European,kg,,European,yes,yes,1e-05,0.044874,0.050102,0.90092,0.004083,1e-05,0.90092,European
HG00384,FIN,European,kg,,European,yes,yes,1e-05,0.041828,0.035601,0.921768,0.000783,1e-05,0.921768,European
HG00403,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00404,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.6e-05,0.999944,1e-05,1e-05,1e-05,0.999944,East Asian
HG00405,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00406,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00407,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.998292,1e-05,0.001668,1e-05,0.998292,East Asian
HG00408,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00409,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00410,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.7e-05,0.99994,1.3e-05,1e-05,1e-05,0.99994,East Asian
HG00418,CHS,East Asian,kg,,,yes,yes,1.1e-05,1e-05,0.999949,1e-05,1e-05,1e-05,0.999949,East Asian
HG00419,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00420,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00421,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00422,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.999946,1e-05,1e-05,1.4e-05,0.999946,East Asian
HG00423,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00427,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00428,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00429,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00436,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00437,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00438,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00442,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00443,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00444,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00445,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.999946,1.4e-05,1e-05,1e-05,0.999946,East Asian
HG00446,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.2e-05,0.999948,1e-05,1e-05,1e-05,0.999948,East Asian
HG00447,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00448,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00449,CHS,East Asian,kg,,East Asian,yes,yes,1.3e-05,1e-05,0.999947,1e-05,1e-05,1e-05,0.999947,East Asian
HG00450,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00451,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00452,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00453,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00457,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.2e-05,0.999945,1.4e-05,1e-05,1e-05,0.999945,East Asian
HG00458,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00459,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00463,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00464,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00465,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00472,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00473,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00474,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00475,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.1e-05,0.999949,1e-05,1e-05,1e-05,0.999949,East Asian
HG00476,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,2e-05,0.99994,1e-05,1e-05,1e-05,0.99994,East Asian
HG00477,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00478,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00479,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00480,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00500,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,0.99995,East Asian
HG00501,CHS,East Asian,kg,,,yes,no,,,,,,,,
HG00502,CHS,East Asian,kg,,,yes,no,,,,,,,,
